Player ID,Name,Legal Name,Player Type,Status,Weight,Height,Birth Year,Birth Year Category,Birth State,Birth Country,Latitude,Longitude,Debut,Final Game,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Bats,Throws
martijo06,Jose Martinez,Jose Miguel,AllStar,Inactive,180.0,74.0,1971,1970-1979,Monte Cristi,D.R.,18.735693,-70.162651,1994-05-10,1994-05-19,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R,R
martile01,Leonys Martin,Leonys,AllStar,Inactive,200.0,74.0,1988,1980-1989,Villa Clara,Cuba,21.521757,-77.781167,2011-09-02,2015-09-28,8.0,8.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,L,R
martilu01,Luis Martinez,Luis,AllStar,Inactive,200.0,78.0,1980,1980-1989,Distrito Nacional,D.R.,18.735693,-70.162651,2003-09-03,2003-09-28,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,L,L
martima01,Marty Martinez,Orlando,AllStar,Inactive,170.0,72.0,1941,1940-1949,La Habana,Cuba,21.521757,-77.781167,1962-05-02,1972-10-04,37.0,18.0,13.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,4.0,B,R
martima02,Manny Martinez,Manuel,AllStar,Inactive,169.0,74.0,1970,1970-1979,San Pedro de Macoris,D.R.,18.735693,-70.162651,1996-06-14,1999-10-03,9.0,17.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,0.0,3.0,5.0,R,R
martimi02,Michael Martinez,Michael Gabriel,AllStar,Active,175.0,69.0,1982,1980-1989,Distrito Nacional,D.R.,18.735693,-70.162651,2011-04-03,2015-10-04,88.0,209.0,25.0,41.0,5.0,2.0,3.0,24.0,3.0,0.0,18.0,35.0,B,R
martino01,Norberto Martin,Norberto Enrique,AllStar,Inactive,175.0,70.0,1966,1960-1969,San Pedro de Macoris,D.R.,18.735693,-70.162651,1993-09-20,1999-05-04,8.0,14.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,R,R
martipa03,Pablo Martinez,Pablo Made,AllStar,Inactive,155.0,70.0,1969,1960-1969,Monte Plata,D.R.,18.735693,-70.162651,1996-07-20,1996-08-04,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,B,R
martipe02,Pedro Martinez,Pedro Jaime,AllStar,Inactive,170.0,71.0,1971,1970-1979,Distrito Nacional,D.R.,18.735693,-70.162651,1992-09-24,2009-09-30,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martipe03,Pedro Martinez,Pedro,AllStar,Inactive,155.0,74.0,1968,1960-1969,Santo Domingo,D.R.,18.735693,-70.162651,1993-06-29,1997-09-06,32.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,L,L
martira02,Ramon Martinez,Ramon Jaime,AllStar,Inactive,165.0,76.0,1968,1960-1969,Distrito Nacional,D.R.,18.735693,-70.162651,1988-08-13,2001-05-01,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,R,R
martiro01,Rogelio Martinez,Rogelio Bautista,AllStar,Active,180.0,72.0,1918,1910-1919,,Cuba,21.521757,-77.781167,1950-07-13,1950-07-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martiru01,Russell Martin,Russell Nathan Coltrane,AllStar,Inactive,205.0,70.0,1983,1980-1989,ON,CAN,56.130366,-106.346771,2006-05-05,2015-10-04,121.0,415.0,65.0,117.0,26.0,4.0,10.0,65.0,10.0,5.0,45.0,57.0,R,R
